i;impusionTheoRoueGauche;impulsionTheoRoueDroite;impulsionReelRoueGauche;impulsionReelRoueDroite;
0;1.256238;1.662676;1;1;
1;2.058523;1.344541;2;2;
2;1.576396;1.620579;1;1;
3;2.249874;0.374417;2;1;
4;1.604450;1.751569;1;1;
5;1.768314;1.014710;2;1;
6;1.851316;2.981501;2;3;
7;0.350315;1.024955;1;1;
8;2.127334;1.748091;2;2;
9;2.249052;2.951035;2;3;
10;0.426363;1.138137;0;1;
11;0.768242;3.119766;1;3;
12;0.963544;2.911912;1;3;
13;0.958297;1.806070;1;2;
14;1.864540;2.222364;2;2;
15;1.811467;0.110697;2;0;
16;2.564766;1.047204;3;1;
17;2.667783;0.686889;3;1;
18;2.170833;0.958061;2;1;
19;0.636056;1.734556;1;2;
20;0.675693;1.701710;0;1;
21;1.500110;2.404371;2;3;
22;1.355752;0.453435;1;0;
23;2.201526;1.850425;2;2;
24;2.727886;0.299986;3;0;
25;2.547650;1.267478;3;2;
26;2.313670;3.154249;2;3;
27;0.809486;0.132792;1;0;
28;1.938862;0.094113;2;0;
29;0.242904;1.767783;0;2;
30;1.878481;1.729828;2;2;
31;0.703458;2.054371;0;2;
32;2.741260;1.260146;2;1;
33;0.144633;1.297667;0;1;
34;0.958650;2.838519;1;3;
35;1.357128;1.890217;1;2;
36;1.111487;1.634343;1;2;
37;0.014204;2.857238;0;2;
38;2.634090;0.393665;3;1;
39;0.693651;2.215730;0;2;
40;1.409634;2.178875;1;2;
41;0.076450;1.167728;0;1;
42;1.300520;0.540204;2;1;
43;1.743844;0.885936;2;1;
44;2.653720;1.165808;2;1;
45;0.822062;1.986748;1;2;
46;0.858018;2.458627;1;2;
47;0.535672;2.635047;1;3;
48;0.749613;1.525704;1;2;
49;2.290650;1.789832;2;1;
50;0.496948;1.708263;1;2;
51;1.269032;0.464677;1;1;
52;1.248342;2.717962;1;2;
53;3.111628;1.283236;3;2;
54;0.315866;1.808858;0;1;
55;0.804632;1.731705;1;2;
56;2.899433;2.835027;3;3;
57;0.192130;0.881082;0;1;
58;1.767019;2.126379;2;2;
59;1.218613;1.935975;1;2;
60;1.849149;2.347165;2;2;
61;1.622691;3.150202;2;3;
62;2.602148;2.707168;3;3;
63;1.049771;0.084789;1;0;
64;1.874621;0.168661;2;0;
65;2.986451;1.266847;3;2;
66;2.841052;0.297996;2;0;
67;0.942384;1.072383;1;1;
68;2.355619;0.906293;2;1;
69;0.641577;0.870911;0;1;
70;0.529043;0.597911;0;0;
71;0.249838;1.446209;1;2;
72;0.253718;1.354902;0;1;
73;0.298181;1.551495;0;2;
74;1.413896;3.130264;1;3;
75;2.294328;2.626321;2;2;
76;2.593423;0.079945;3;0;
77;2.787113;0.733918;3;1;
78;0.818707;3.121997;1;3;
79;1.217084;1.763310;2;2;
80;3.030158;0.619754;3;1;
81;0.917750;1.020435;1;1;
82;2.092818;2.688109;2;2;
83;1.520828;2.969662;2;3;
84;0.657472;2.374863;1;3;
85;0.899201;2.162405;1;2;
86;1.535040;2.296042;1;2;
87;0.467844;2.258566;1;3;
88;0.626960;1.788758;0;1;
89;1.735921;1.875552;2;2;
90;1.318772;3.150384;1;3;
91;0.047228;1.956675;0;2;
92;2.690593;1.838621;3;2;
93;1.777518;0.760767;2;1;
94;0.450503;1.435726;0;1;
95;2.055481;0.921028;2;1;
96;1.941463;0.297560;2;1;
97;0.912095;0.899657;0;0;
98;0.686218;1.960707;1;2;
99;2.261997;0.359349;3;1;
