i;centreX;centreY;roueGaucheX;roueGaucheY;roueDroiteX;roueDroiteY;orientation;
0;7;0;56;-3;-42;3;0.072080;
1;24;4;72;15;-24;-7;-0.226427;
2;41;-11;88;5;-6;-27;-0.333960;
3;46;-21;91;0;0;-42;-0.446075;
4;47;-29;94;-12;0;-45;-0.326750;
5;53;-40;102;-39;3;-40;-0.006134;
6;69;-40;113;-17;24;-62;-0.467849;
7;71;-65;113;-38;28;-91;-0.548358;
8;68;-83;115;-68;20;-97;-0.291915;
9;76;-93;125;-86;26;-99;-0.121045;
10;94;-100;127;-62;60;-137;-0.841966;
11;72;-111;115;-86;28;-135;-0.516743;
12;70;-137;109;-106;30;-167;-0.656401;
13;64;-146;101;-113;26;-178;-0.720503;
14;52;-160;81;-119;22;-200;-0.947707;
15;38;-162;78;-132;-2;-191;-0.623709;
16;32;-176;68;-142;-4;-209;-0.741821;
17;24;-183;71;-166;-23;-199;-0.331067;
18;33;-199;66;-162;0;-235;-0.830971;
19;29;-201;57;-160;0;-241;-0.957778;
20;25;-201;48;-156;1;-245;-1.084893;
21;-2;-193;26;-151;-30;-234;-0.972362;
22;-20;-194;27;-178;-67;-209;-0.314579;
23;-17;-198;31;-186;-65;-209;-0.234293;
24;0;-213;48;-200;-48;-225;-0.249513;
25;10;-223;58;-210;-38;-235;-0.259372;
26;22;-235;50;-193;-6;-276;-0.967818;
27;6;-236;-7;-187;19;-284;-1.850601;
28;30;-223;11;-176;48;-269;-1.954353;
29;46;-220;57;-171;34;-268;-1.333192;
30;41;-212;36;-162;45;-261;-1.663682;
31;52;-191;72;-145;31;-236;-1.149763;
32;37;-183;56;-136;17;-229;-1.179113;
33;31;-179;40;-129;21;-228;-1.388225;
34;28;-171;44;-123;11;-218;-1.234643;
35;11;-156;9;-106;12;-205;-1.609611;
36;18;-135;-14;-97;50;-172;-2.286586;
37;32;-153;-1;-116;65;-189;-2.314085;
38;41;-168;-8;-161;90;-174;-3.009634;
39;19;-167;-23;-140;61;-193;-2.579734;
40;17;-174;-29;-154;63;-193;-2.740927;
41;3;-188;-25;-147;31;-228;-2.187836;
42;25;-203;-11;-168;61;-237;-2.382700;
43;29;-214;-14;-189;72;-238;-2.635309;
44;19;-235;-19;-202;57;-267;-2.446751;
45;22;-253;-27;-249;71;-256;-3.076323;
46;17;-251;-32;-258;66;-243;-3.297478;
47;8;-239;-29;-206;45;-271;-2.422878;
48;14;-266;-30;-243;58;-288;-2.683588;
49;6;-278;-42;-267;54;-288;-2.928481;
50;-2;-279;-51;-278;47;-279;-3.133777;
51;-15;-273;-64;-273;34;-272;-3.144709;
52;-22;-269;-71;-259;27;-278;-2.957275;
53;-34;-270;-83;-279;15;-260;-3.323874;
54;-44;-253;-93;-261;5;-244;-3.309518;
55;-59;-229;-108;-225;-9;-232;-3.063267;
56;-79;-224;-125;-242;-32;-205;-3.510194;
57;-78;-220;-122;-241;-33;-198;-3.596400;
58;-72;-201;-99;-242;-44;-159;-4.126751;
59;-66;-203;-96;-242;-35;-163;-4.067158;
60;-50;-206;-81;-245;-18;-166;-4.037421;
61;-39;-207;-85;-225;7;-188;-3.521147;
62;-38;-195;-79;-223;3;-166;-3.741643;
63;-25;-181;-68;-205;18;-156;-3.648701;
64;-14;-160;-41;-201;13;-118;-4.127203;
65;-10;-161;-35;-204;15;-117;-4.180673;
66;0;-167;-14;-214;14;-119;-4.417619;
67;3;-178;-30;-215;36;-140;-3.983688;
68;11;-177;-18;-217;40;-136;-4.086521;
69;27;-181;-15;-208;69;-153;-3.713880;
70;33;-173;-13;-191;79;-154;-3.513515;
71;33;-158;12;-203;53;-112;-4.283694;
72;45;-173;26;-219;63;-126;-4.330595;
73;56;-193;58;-242;53;-143;-4.753813;
74;46;-201;78;-239;13;-162;-5.414147;
75;43;-190;50;-239;35;-140;-4.868058;
76;22;-199;29;-248;14;-149;-4.871392;
77;5;-206;4;-255;5;-156;-4.693408;
78;1;-211;4;-260;-2;-161;-4.775034;
79;-12;-222;-46;-257;22;-186;-3.945207;
80;-8;-221;-46;-252;30;-189;-3.826232;
81;8;-210;0;-259;16;-160;-4.535291;
82;7;-217;12;-266;1;-167;-4.823336;
83;-5;-224;-17;-272;7;-175;-4.455955;
84;-3;-233;-8;-282;2;-183;-4.594020;
85;-8;-251;-13;-300;-2;-201;-4.608239;
86;-9;-255;-8;-304;-9;-205;-4.714460;
87;-25;-275;-38;-323;-11;-226;-4.433587;
88;-22;-288;-30;-337;-13;-238;-4.539504;
89;-25;-313;-16;-362;-33;-263;-4.874474;
90;-47;-322;-36;-370;-57;-273;-4.915309;
91;-62;-326;-16;-347;-107;-304;-5.847023;
92;-45;-317;3;-329;-93;-304;-6.038675;
93;-28;-318;21;-320;-77;-315;-6.236945;
94;-6;-337;43;-338;-55;-335;-6.254615;
95;3;-347;51;-333;-45;-360;-6.553154;
96;0;-362;47;-345;-47;-378;-6.610374;
97;-3;-371;31;-334;-37;-407;-7.092175;
98;-21;-365;2;-320;-44;-409;-7.374902;
99;-27;-350;-16;-301;-37;-398;-7.645908;
